timestamp,score,threshold,prediction,attack
5,77.26091003417969,5.154173851013184,1,1
6,76.62159729003906,5.154173851013184,1,1
7,114.17864990234375,5.154173851013184,1,1
8,67.36722564697266,5.154173851013184,1,1
9,58.45296096801758,5.154173851013184,1,1
10,49.08115005493164,5.154173851013184,1,1
11,44.44687271118164,5.154173851013184,1,1
12,44.56867599487305,5.154173851013184,1,1
13,44.48811721801758,5.154173851013184,1,1
14,39.78905487060547,5.154173851013184,1,1
15,40.060508728027344,5.154173851013184,1,1
16,44.69530487060547,5.154173851013184,1,1
17,80.16093444824219,5.154173851013184,1,1
18,75.00308227539062,5.154173851013184,1,1
19,42.10445785522461,5.154173851013184,1,0
20,40.48062515258789,5.154173851013184,1,0
21,40.64688491821289,5.154173851013184,1,0
22,39.78997039794922,5.154173851013184,1,0
23,42.35041809082031,5.154173851013184,1,1
24,43.649009704589844,5.154173851013184,1,1
25,606.2324829101562,5.154173851013184,1,1
26,446.6809997558594,5.154173851013184,1,1
27,410.52874755859375,5.154173851013184,1,1
28,385.4368896484375,5.154173851013184,1,1
29,325.0691833496094,5.154173851013184,1,1
30,357.075927734375,5.154173851013184,1,1
31,703.6214599609375,5.154173851013184,1,1
32,683.36181640625,5.154173851013184,1,1
33,333.3607482910156,5.154173851013184,1,1
34,297.4335021972656,5.154173851013184,1,1
35,46.469757080078125,5.154173851013184,1,1
36,128.10569763183594,5.154173851013184,1,1
37,102.17534637451172,5.154173851013184,1,1
38,4060.200439453125,5.154173851013184,1,0
39,4565.62841796875,5.154173851013184,1,0
40,4579.10400390625,5.154173851013184,1,0
41,4579.6806640625,5.154173851013184,1,0
42,4712.80078125,5.154173851013184,1,1
43,4723.53515625,5.154173851013184,1,1
44,4685.70654296875,5.154173851013184,1,1
45,4687.3330078125,5.154173851013184,1,1
46,4686.58447265625,5.154173851013184,1,1
47,4182.3017578125,5.154173851013184,1,1
48,4141.556640625,5.154173851013184,1,1
49,4137.673828125,5.154173851013184,1,1
50,4130.12548828125,5.154173851013184,1,1
51,4129.482421875,5.154173851013184,1,1
52,4127.99462890625,5.154173851013184,1,1
53,4121.46826171875,5.154173851013184,1,1
54,4120.61279296875,5.154173851013184,1,1
55,4140.09765625,5.154173851013184,1,1
56,4140.0625,5.154173851013184,1,1
