timestamp,score,threshold,prediction,attack
2026-06-05 13:35:30,989.0120849609375,24.683069229125977,1,1
2026-06-05 13:36:00,880.0442504882812,24.683069229125977,1,1
2026-06-05 13:36:30,886.4046630859375,24.683069229125977,1,1
2026-06-05 13:37:00,1578.4676513671875,24.683069229125977,1,1
2026-06-05 13:37:30,1580.67578125,24.683069229125977,1,1
2026-06-05 13:38:00,626.2124633789062,24.683069229125977,1,1
2026-06-05 13:38:30,31244.748046875,24.683069229125977,1,1
2026-06-05 13:39:00,43179.6796875,24.683069229125977,1,1
2026-06-05 13:39:30,1580.7530517578125,24.683069229125977,1,0
2026-06-05 13:40:00,1580.9393310546875,24.683069229125977,1,0
2026-06-05 13:40:30,1586.7645263671875,24.683069229125977,1,0
2026-06-05 13:41:00,1562.8538818359375,24.683069229125977,1,0
2026-06-05 13:41:30,1624.9154052734375,24.683069229125977,1,0
2026-06-05 13:42:00,1141.5220947265625,24.683069229125977,1,0
2026-06-05 13:42:30,51839.6796875,24.683069229125977,1,0
2026-06-05 13:43:00,41940.796875,24.683069229125977,1,0
2026-06-05 13:43:30,33209.29296875,24.683069229125977,1,0
2026-06-05 13:44:00,19768.845703125,24.683069229125977,1,0
2026-06-05 13:44:30,17016.736328125,24.683069229125977,1,0
2026-06-05 13:45:00,18982.3125,24.683069229125977,1,0
2026-06-05 13:45:30,1531.5262451171875,24.683069229125977,1,0
2026-06-05 13:46:00,384.3919982910156,24.683069229125977,1,0
2026-06-05 13:46:30,221.5008544921875,24.683069229125977,1,0
2026-06-05 13:47:00,743.0142211914062,24.683069229125977,1,0
