timestamp,frontend_cpu,frontend_mem,frontend_net_rx,frontend_net_tx,cartservice_cpu,cartservice_mem,cartservice_net_rx,cartservice_net_tx,checkoutservice_cpu,checkoutservice_mem,checkoutservice_net_rx,checkoutservice_net_tx,productcatalogservice_cpu,productcatalogservice_mem,productcatalogservice_net_rx,productcatalogservice_net_tx,recommendationservice_cpu,recommendationservice_mem,recommendationservice_net_rx,recommendationservice_net_tx,paymentservice_cpu,paymentservice_mem,paymentservice_net_rx,paymentservice_net_tx,currencyservice_cpu,currencyservice_mem,currencyservice_net_rx,currencyservice_net_tx,shippingservice_cpu,shippingservice_mem,shippingservice_net_rx,shippingservice_net_tx,emailservice_cpu,emailservice_mem,emailservice_net_rx,emailservice_net_tx,adservice_cpu,adservice_mem,adservice_net_rx,adservice_net_tx,redis-cart_cpu,redis-cart_mem,redis-cart_net_rx,redis-cart_net_tx
2026-06-05 13:16:00,0.019134502802574064,17137664,,,0.0077987862041741214,54788096,,,0.0014262360526158203,12374016,,,0.007009849271990122,13094912,,,0.007455181279414314,48295936,,,0.0009171616567668666,68694016,,,0.009574326970142157,73527296,,,0.0018290282090242518,11829248,,,0.0021960776166534647,45166592,,,0.003232458224815953,94711808,,,0.0019291980156628083,6397952,,
2026-06-05 13:16:30,0.01997831677899984,17039360,,,0.008780386629077859,54788096,,,0.001083050146950736,12374016,,,0.009677816658860161,13291520,,,0.007231230987629281,48291840,,,0.00040686718288855125,69050368,,,0.011855217266768938,73740288,,,0.000813050855998223,11829248,,,0.002498747311147688,45170688,,,0.002165635913229998,94711808,,,0.003555793342482971,6397952,,
2026-06-05 13:17:00,0.022223567759371402,17141760,,,0.007794961820344596,54751232,,,0.0016533070453775315,12201984,,,0.01069428880122591,13168640,,,0.007223400512640396,48140288,,,0.0007935178191306718,69423104,,,0.010901053933814126,74256384,,,0.0016817180111106053,11702272,,,0.0016418174979741676,45166592,,,0.003061631742786616,94707712,,,0.0032873054814390183,6660096,,
2026-06-05 13:17:30,0.020502474516176306,18685952,,,0.007036043198833871,54689792,,,0.0009126116938616934,12230656,,,0.006823239527850734,13012992,,,0.00608053720257353,48078848,,,0.0007180297499046431,69709824,,,0.010388199330645252,73797632,,,0.0014486718037108276,12009472,,,0.0021902724163104024,45088768,,,0.02125437593076216,94773248,,,0.002892238033635217,6397952,,
2026-06-05 13:18:00,0.12947799508342958,22196224,,,0.006210697616978151,54640640,,,0.0012521577816832724,12312576,,,0.011443087186565585,13402112,,,0.0070518621873995055,47951872,,,0.00077527759376094,69238784,,,0.011462941348117978,73379840,,,0.0014197185949995173,11771904,,,0.002694577194279629,45088768,,,0.025750907116560934,94887936,,,0.0037973431058176753,6660096,,
2026-06-05 13:18:30,0.20008582447272055,21909504,,,0.0086094177301734,54628352,,,0.001487194745153692,12324864,,,0.00969177139304588,13058048,,,0.0072846813325915544,47878144,,,0.0009065866308802789,69840896,,,0.01309380157711339,73469952,,,0.0015155945419103097,11784192,,,0.0023537761567240956,45092864,,,0.003202378838984855,94879744,,,0.003739538563516972,6397952,,
2026-06-05 13:19:00,0.19993250571708596,22106112,,,0.009146590136696746,54607872,,,0.0014331411831411988,12328960,,,0.007431180447582726,12972032,,,0.007617572674831879,48148480,,,0.000988871925360476,70324224,,,0.012115566850448003,73687040,,,0.0015024742115758963,11784192,,,0.0026732207736695794,45092864,,,0.005946538266130912,94908416,,,0.003224900940468762,6393856,,
2026-06-05 13:19:30,0.19972053494391692,22249472,,,0.007610031997836659,54550528,,,0.0010139861449166823,12345344,,,0.009085600105978784,13017088,,,0.0069856680940310655,47833088,,,0.0007133391049547288,70602752,,,0.010664971471098874,74391552,,,0.0013653780860455023,11800576,,,0.00259934409999387,45092864,,,0.004561908874972808,94908416,,,0.002602036542696134,6393856,,
2026-06-05 13:20:00,0.1997281525980693,22048768,,,0.009013924403737914,54579200,,,0.0016904701573333958,12345344,,,0.01066966017830282,13361152,,,0.007687073048818281,47833088,,,0.001110310325185137,70406144,,,0.011920014761963253,73924608,,,0.0014362176252943086,11792384,,,0.0026215102188805735,45092864,,,0.004103420355285338,94863360,,,0.0030588814889151933,6656000,,
2026-06-05 13:20:30,0.20019681660554392,22700032,,,0.009148825405089028,54550528,,,0.0017592415798938776,12349440,,,0.010706206280696687,13160448,,,0.007205557661857037,47833088,,,0.0009433821013004423,70758400,,,0.011100193908976774,74010624,,,0.0016044149002884536,11796480,,,0.002438512974935815,45355008,,,0.004020011446012984,95027200,,,0.003318562450207972,6393856,,
2026-06-05 13:21:00,0.2000863579474345,21979136,,,0.008718812643003391,54517760,,,0.0006582147125655106,12345344,,,0.011174570420226206,13361152,,,0.008643778633463458,47833088,,,0.0007811865256271722,71061504,,,0.012448490077653142,74747904,,,0.0018448937426210248,11792384,,,0.0025973192087342294,45092864,,,0.003383904851432535,95027200,,,0.0022981966938327115,6393856,,
2026-06-05 13:21:30,0.19985417493405486,22220800,,,0.012418752347458005,54546432,,,0.004638034442846608,12378112,,,0.013389294206657838,13320192,,,0.008244001485700352,47841280,,,0.007346322840884542,71667712,,,0.012147025845959308,74928128,,,0.0021178290402851835,11796480,,,0.0028663913941106628,45092864,,,0.003011289450502153,95027200,,,0.003441584242116858,6393856,,
2026-06-05 13:22:00,0.19990383044280058,21835776,,,0.006973610331274502,54456320,,,0.001211266091537016,12509184,,,0.01156232018831173,13148160,,,0.00914702416028287,47841280,,,0.0008225678603183851,70975488,,,0.011148722438540959,75038720,,,0.001506646734130646,11796480,,,0.00282780293731752,45092864,,,0.0038430021841922225,95039488,,,0.00358549869510949,6393856,,
2026-06-05 13:22:30,0.20006690271622082,21725184,,,0.00797172213535843,54984704,,,0.0017826006306807909,12513280,,,0.01131267856734697,12943360,,,0.007797365400928083,47841280,,,0.0007750472072466556,71413760,,,0.012341020519339135,74788864,,,0.0014713782373936121,11800576,,,0.00271418082043555,45092864,,,0.003955174703090532,95297536,,,0.00339898548189612,6393856,,
2026-06-05 13:23:00,0.10211585618424342,18505728,,,0.00821854145854147,54554624,,,0.0011708435025894273,12611584,,,0.00885888601149994,13045760,,,0.007290340341361005,47841280,,,0.000718172515499909,71839744,,,0.011291058041579548,75812864,,,0.0015322674810257537,12365824,,,0.002416414590747324,45092864,,,0.003297148609420233,94920704,,,0.00256569985857263,6393856,,
2026-06-05 13:23:30,0.02201547602320402,18702336,,,0.010750070098137297,54755328,,,0.001409478430368779,12619776,,,0.0069574942034485625,13299712,,,0.007102040389681028,47841280,,,0.0009080202452793425,71536640,,,0.01719739627434374,75431936,,,0.001644440707418919,11837440,,,0.002021705629625027,45096960,,,0.0033889875666075456,94924800,,,0.0033433215308120794,6402048,,
2026-06-05 13:24:00,0.024590013484412254,18325504,,,0.008602777089015436,54792192,,,0.0005388559168547588,12623872,,,0.010491091690406055,13041664,,,0.008023989826001497,47841280,,,0.0008724191348177181,71864320,,,0.015367767897343574,75853824,,,0.0014956414607499163,11833344,,,0.002350507761697921,45092864,,,0.006001332959169444,94957568,,,0.0031663804789878658,6402048,,
2026-06-05 13:24:30,0.024565753070202097,18661376,,,0.008092911585366014,54726656,,,0.0008845707070707008,12619776,,,0.011153044477269006,13541376,,,0.00840165403170228,47792128,,,0.000581876579612476,72216576,,,0.012143178254051102,75988992,,,0.001521526202202406,11837440,,,0.002568164810494362,45092864,,,0.0035247942004933545,94953472,,,0.003587085191730499,6402048,,
2026-06-05 13:25:00,0.021604971214859006,18669568,,,0.008221924250374024,54763520,,,0.0013225263235811067,12627968,,,0.010226545872337196,13127680,,,0.007233350642606768,47824896,,,0.0005210718358038947,72585216,,,0.010954907775464463,75771904,,,0.001317246013806604,11862016,,,0.0025838422150578394,45092864,,,0.0035144417905165026,95068160,,,0.0036261009667024565,6402048,,
2026-06-05 13:25:30,0.023309599156118254,18489344,,,0.007240403750282091,54722560,,,0.0009938285912963153,12627968,,,0.010629627234813314,13123584,,,0.005708155094132054,47824896,,,0.0008090759289774335,72253440,,,0.01208490896767711,76054528,,,0.0015923431137496644,11862016,,,0.0026337572561705067,45092864,,,0.0035762428767930946,95068160,,,0.003431326249508021,6402048,,
2026-06-05 13:26:00,0.020493820362212662,18792448,,,0.006684630693888471,54730752,,,0.0013836353892624012,12632064,,,0.0098281427521219,13025280,,,0.0070659966320067175,47833088,,,0.0006296304158617572,72474624,,,0.006468854693654462,76533760,,,0.001435312499999992,11866112,,,0.0026141538027772493,45092864,,,0.0035130171917415244,95072256,,,0.0034894483826285187,6664192,,
2026-06-05 13:26:30,0.02362946819796126,18690048,,,0.006073744362715297,54730752,,,0.0019912796555830326,12632064,,,0.012169270507853198,13053952,,,0.008714969254799837,47828992,,,0.002025032562777283,72966144,,,0.011227616498167836,76636160,,,0.0016380419580419566,11870208,,,0.002439162485012726,45359104,,,0.00357149666348913,95076352,,,0.003403416264389184,6402048,,
2026-06-05 13:27:00,0.02484987480573279,18833408,,,0.008259884580531488,54743040,,,0.0022113536774675422,12648448,,,0.012850513004056216,13271040,,,0.00861987075198861,47828992,,,0.0008331780278593885,72601600,,,0.012164075067023945,76181504,,,0.0017907749242019012,11870208,,,0.0026097260072180527,45092864,,,0.003794656903406737,95068160,,,0.003483477974067691,6664192,,
2026-06-05 13:27:30,0.023661631556368724,18710528,,,0.00704317021915338,54665216,,,0.001121921016501977,12648448,,,0.01049607598218275,13361152,,,0.00651143051023118,47828992,,,0.0007665731640869386,73105408,,,0.011083893037420273,76824576,,,0.0014073274699185243,11870208,,,0.0023820343817452724,45092864,,,0.0031184046269452015,95068160,,,0.0033507194994786263,6664192,,
2026-06-05 13:28:00,0.02349219817914544,18915328,,,0.007423826814996316,54743040,,,0.0012774776709851637,12648448,,,0.011401933136229375,13508608,,,0.00804402476970937,47833088,,,0.0006790911065262186,73265152,,,0.011880583865606994,76673024,,,0.00167146339731602,11874304,,,0.0021433486643776117,45092864,,,0.003639877611217252,94961664,,,0.00306488591665141,6664192,,
2026-06-05 13:28:30,0.023315408583777505,18743296,,,0.009955917861492932,54747136,,,0.0017607355702506267,12316672,,,0.011001449245357156,13365248,,,0.008617478890442823,47726592,,,0.0009496189544227924,73678848,,,0.007618919766131179,77336576,,,0.001925948057917716,11837440,,,0.002907691911783626,45092864,,,0.014981700141220617,95100928,,,0.003518855106359304,6402048,,
2026-06-05 13:29:00,0.021468053295809045,18702336,,,0.008895436643075226,54808576,,,0.0020017549292866616,12316672,,,0.010699403147042798,13217792,,,0.00827193517469736,47726592,,,0.0010141967778572298,73199616,,,0.009212877472042035,77115392,,,0.0013986467661691664,11837440,,,0.0027769965626535113,45092864,,,0.005103727365719528,95125504,,,0.0035641397905216707,6402048,,
2026-06-05 13:29:30,0.022424700345613897,18857984,,,0.00967328047906211,54775808,,,0.001969577070160159,12374016,,,0.00880349994344194,13275136,,,0.008424276088583897,47726592,,,0.0007141139434218332,73699328,,,0.011387969267287218,76836864,,,0.0014723543321731273,11845632,,,0.0024732469341559203,45096960,,,0.00466611911379176,95125504,,,0.003365596774697646,6402048,,
2026-06-05 13:30:00,0.02630477082239065,18665472,,,0.0097829042707356,54755328,,,0.0029631912492403376,12472320,,,0.012070636699581807,13451264,,,0.008958277605610656,47726592,,,0.0010152832973770857,73338880,,,0.012560725842035443,76759040,,,0.001972748481041847,11841536,,,0.00272179208994972,45092864,,,0.003384899549366104,95244288,,,0.0030703360470601213,6402048,,
