timestamp,frontend_cpu,frontend_mem,frontend_request_rate,frontend_latency,frontend_error_rate,cartservice_cpu,cartservice_mem,cartservice_request_rate,cartservice_latency,cartservice_error_rate,checkoutservice_cpu,checkoutservice_mem,checkoutservice_request_rate,checkoutservice_latency,checkoutservice_error_rate,productcatalogservice_cpu,productcatalogservice_mem,productcatalogservice_request_rate,productcatalogservice_latency,productcatalogservice_error_rate,recommendationservice_cpu,recommendationservice_mem,recommendationservice_request_rate,recommendationservice_latency,recommendationservice_error_rate,paymentservice_cpu,paymentservice_mem,paymentservice_request_rate,paymentservice_latency,paymentservice_error_rate,currencyservice_cpu,currencyservice_mem,currencyservice_request_rate,currencyservice_latency,currencyservice_error_rate,shippingservice_cpu,shippingservice_mem,shippingservice_request_rate,shippingservice_latency,shippingservice_error_rate,emailservice_cpu,emailservice_mem,emailservice_request_rate,emailservice_latency,emailservice_error_rate,adservice_cpu,adservice_mem,adservice_request_rate,adservice_latency,adservice_error_rate,redis-cart_cpu,redis-cart_mem,redis-cart_request_rate,redis-cart_latency,redis-cart_error_rate
2026-06-07 14:13:22,0.012809907791164976,15302656.0,0.1915892326851231,57.0,0.0,0.006038696444011102,57884672.0,0.1915892326851231,569.0,0.0,0.0013721679967563585,10645504.0,0.1915892326851231,568.0,0.0,0.005761896032912068,11169792.0,0.1915892326851231,569.0,0.0,0.006730027898781254,44724224.0,0.1915892326851231,568.0,0.0,0.001261884455651112,102727680.0,0.1915892326851231,568.0,0.0,0.009406018302050758,108855296.0,0.1915892326851231,568.0,0.0,0.0009316037735849115,9494528.0,0.0,21830.0,0.04354300742843707,0.0017684242650967985,45813760.0,0.0,21829.0,0.04354300742843707,0.00200734027918069,101195776.0,0.1915892326851231,568.0,0.0,0.0024818257180475142,7069696.0,0.1915892326851231,748.0,0.0
2026-06-07 14:13:52,0.013533359717512964,15413248.0,0.19038058810294395,57.0,0.0,0.005558470800838863,57933824.0,0.190380588102944,569.0,0.0,0.0011874427218573607,10448896.0,0.190380588102944,568.0,0.0,0.006446426896501444,10584064.0,0.19038058810294395,569.0,0.0,0.006668236808476886,44752896.0,0.190380588102944,568.0,0.0,0.0018225951160580295,102670336.0,0.190380588102944,568.0,0.0,0.0103650821167885,108490752.0,0.190380588102944,568.0,0.0,0.0006700222349556957,9650176.0,0.0,21830.0,0.05192197857353019,0.0014737563699160044,45813760.0,0.0,21829.0,0.05192197857353019,0.0020451430983234255,101072896.0,0.190380588102944,568.0,0.0,0.0021566081625207464,7069696.0,0.19038058810294395,748.0,0.0
2026-06-07 14:14:22,0.012764691426840044,14970880.0,0.19179467508238454,57.0,0.0,0.005763360782445452,57966592.0,0.19179467508238454,569.0,0.0,0.0012296287299837635,10452992.0,0.19179467508238454,568.0,0.0,0.006593649315918691,10719232.0,0.19179467508238454,569.0,0.0,0.006729517231244065,44748800.0,0.19179467508238454,568.0,0.0,0.012468850318880278,103051264.0,0.19179467508238454,568.0,0.0,0.01067838144915552,109121536.0,0.19179467508238454,568.0,0.0,0.0007453670987543508,9383936.0,0.0,21830.0,0.052307638658832145,0.0017519348268838994,45801472.0,0.0,21829.0,0.052307638658832145,0.002046322219394253,101072896.0,0.19179467508238454,568.0,0.0,0.002357068588433515,6807552.0,0.19179467508238454,748.0,0.0
2026-06-07 14:14:52,0.014293782266675997,15425536.0,0.19047289224429012,57.0,0.0,0.005893494999206211,57896960.0,0.19047289224429012,569.0,0.0,0.0012323951611385746,10457088.0,0.19047289224429012,568.0,0.0,0.006690159616666121,11190272.0,0.19047289224429012,569.0,0.0,0.006918040579199809,44740608.0,0.19047289224429012,568.0,0.0,0.010934046034489088,103223296.0,0.19047289224429012,568.0,0.0,0.010474075818635475,109133824.0,0.19047289224429012,568.0,0.0,0.0007325481971335865,9428992.0,0.0,21830.0,0.04328929369188412,0.0017482070189232366,45801472.0,0.0,21829.0,0.04328929369188412,0.0020375427588683577,101195776.0,0.19047289224429012,568.0,0.0,0.002372392180536589,6807552.0,0.19047289224429012,748.0,0.0
2026-06-07 14:15:22,0.01165903494373777,15437824.0,0.1904382677042667,57.0,0.0,0.005698482264503271,57896960.0,0.1904382677042667,569.0,0.0,0.001049018055555553,10473472.0,0.1904382677042667,568.0,0.0,0.006328375010929411,10768384.0,0.1904382677042667,569.0,0.0,0.00673422316330777,44740608.0,0.19043826770426667,568.0,0.0,0.011716198823371885,103550976.0,0.19043826770426667,568.0,0.0,0.009937996086498238,108978176.0,0.1904382677042667,568.0,0.0,0.0007715889256405484,9433088.0,0.0,21830.0,0.05193770937389092,0.0018187904108226587,45801472.0,0.0,21829.0,0.05193770937389092,0.0019512720957390386,101457920.0,0.19043826770426667,568.0,0.0,0.0024247360967427547,6807552.0,0.1904382677042667,748.0,0.0
2026-06-07 14:15:52,0.012262289454031624,15716352.0,0.18997304192071796,57.0,0.0,0.005197067684273896,57896960.0,0.18997304192071793,569.0,0.0,0.0013749414540602212,10477568.0,0.19040859954475037,568.0,0.0,0.006176436561960838,10776576.0,0.19040859954475037,569.0,0.0,0.006592391702034206,44740608.0,0.19040859954475037,568.0,0.0,0.0013167794759825252,103403520.0,0.19040859954475037,568.0,0.0,0.010365563784655467,109412352.0,0.19040859954475037,568.0,0.0,0.0008870861149156651,9428992.0,0.0,21830.0,0.04327468171471599,0.0016922235176774687,45805568.0,0.0,21829.0,0.04327468171471599,0.0033484838493928358,101232640.0,0.19040859954475037,568.0,0.0,0.002421031921223872,7073792.0,0.19040859954475037,748.0,0.0
2026-06-07 14:16:22,0.01400441680469177,15724544.0,0.1891984864121087,57.0,0.0,0.0052389774373834555,57933824.0,0.1891984864121087,569.0,0.0,0.001335206597517417,10481664.0,0.18517839687194526,568.0,0.0,0.006011470911086749,10801152.0,0.18529633643588764,569.0,0.0,0.006672196459460454,44740608.0,0.18543180755663222,568.0,0.0,0.001353648991527961,103636992.0,0.18555452845424794,568.0,0.0,0.010083364565501251,110170112.0,0.1856453737940414,568.0,0.0,0.0008548861621524503,9433088.0,0.0,21830.0,0.053087527246012525,0.0019149002656111663,45801472.0,0.0,21829.0,0.05312896547118146,0.003276040112488571,101240832.0,0.186019911598453,568.0,0.0,0.0024278828691751274,6811648.0,0.18613625738450423,748.0,0.0
2026-06-07 14:16:52,0.01343292652799042,15368192.0,0.19051082880870115,57.0,0.0,0.004485215404572174,57933824.0,0.19051082880870115,569.0,0.0,0.001346079836635304,10526720.0,0.19051082880870115,568.0,0.0,0.005920672052430705,11235328.0,0.19051082880870115,569.0,0.0,0.00573717219005852,44736512.0,0.19051082880870115,568.0,0.0,0.001247506324807651,104333312.0,0.19051082880870115,568.0,0.0,0.009987362632098488,109731840.0,0.19051082880870115,568.0,0.0,0.0011174716443231815,9457664.0,0.0,21830.0,0.04329791563834117,0.0018302493074791968,45801472.0,0.0,21829.0,0.04329791563834117,0.005094219372003239,101265408.0,0.19051082880870115,568.0,0.0,0.002317406352415124,6807552.0,0.19051082880870115,748.0,0.0
2026-06-07 14:17:22,0.013460909860979482,15380480.0,0.19036082028208012,57.0,0.0,0.00552594407210538,57896960.0,0.19036082028208012,569.0,0.0,0.0014377848742999752,10526720.0,0.19036082028208012,568.0,0.0,0.006231129190681902,10743808.0,0.19036082028208012,569.0,0.0,0.006742836743907802,44748800.0,0.19036082028208012,568.0,0.0,0.0014697066846343727,104349696.0,0.19036082028208012,568.0,0.0,0.00870656217252276,110428160.0,0.19036082028208012,568.0,0.0,0.0011673346810474818,9461760.0,0.0,21830.0,0.05191658734965822,0.0018842021854902564,45801472.0,0.0,21829.0,0.05191658734965822,0.0036805750041617293,101392384.0,0.19036082028208012,568.0,0.0,0.0024673279695700814,6807552.0,0.19036082028208012,748.0,0.0
2026-06-07 14:17:52,0.011667918040202577,15392768.0,0.18690668132405036,57.0,0.0,0.005562161505994863,57933824.0,0.18680087333577625,569.0,0.0,0.001366956377171662,10526720.0,0.18669666849883962,568.0,0.0,0.006044179503607396,10743808.0,0.1865940668132405,569.0,0.0,0.006750106053535709,44748800.0,0.186480243068279,568.0,0.0,0.0014251875942869632,104333312.0,0.18636641932331746,568.0,0.0,0.009618120451840547,110518272.0,0.19043497078554428,568.0,0.0,0.0011191237263191581,9461760.0,0.0,21830.0,0.04328067517853279,0.0018845929789655619,45809664.0,0.0,21829.0,0.04328067517853278,0.0037998914164720913,101408768.0,0.19043497078554425,568.0,0.0,0.002513949340652223,7069696.0,0.19043497078554425,748.0,0.0
2026-06-07 14:18:22,0.013178082315286475,15425536.0,0.19265123121650493,57.0,0.0,0.0054696424376263165,57901056.0,0.19265123121650493,569.0,0.0,0.0014077178035015953,10526720.0,0.19265123121650493,568.0,0.0,0.006187242167327768,11304960.0,0.19265123121650493,569.0,0.0,0.006629646550649949,44765184.0,0.19265123121650493,568.0,0.0,0.00119607479771158,104681472.0,0.19265123121650493,568.0,0.0,0.008921938727117537,109985792.0,0.19265123121650493,568.0,0.0,0.0008905328205511067,9461760.0,0.0,21830.0,0.04378437073102385,0.0018790966756724926,45809664.0,0.0,21829.0,0.04378437073102385,0.0017667750816016676,101158912.0,0.19265123121650493,568.0,0.0,0.002602227533196174,7069696.0,0.19265123121650493,748.0,0.0
2026-06-07 14:18:52,0.012907759232954558,15671296.0,0.1913908897936458,57.0,0.0,0.0051864051849601555,57937920.0,0.19139088979364585,569.0,0.0,0.0012655411833768545,10526720.0,0.19139088979364585,568.0,0.0,0.005341778990083232,11034624.0,0.19139088979364585,569.0,0.0,0.005533931169794369,44748800.0,0.1913908897936458,568.0,0.0,0.001130672082477444,104607744.0,0.19139088979364585,568.0,0.0,0.00874267884292441,110518272.0,0.1913908897936458,568.0,0.0,0.0007491150800072919,9461760.0,0.0,21830.0,0.052197515398267044,0.001910366002241814,45809664.0,0.0,21829.0,0.05219751539826704,0.0018636756224635152,101158912.0,0.1913908897936458,568.0,0.0,0.002676412004673196,6807552.0,0.19139088979364585,748.0,0.0
2026-06-07 14:19:22,0.012658216990061609,15171584.0,0.19306153626618988,57.0,0.0,0.00508707415328002,57901056.0,0.19306153626618988,569.0,0.0,0.0011841574220260952,10530816.0,0.19306153626618988,568.0,0.0,0.005849540802408623,10686464.0,0.19275757230599389,569.0,0.0,0.00655615949062386,44748800.0,0.19275757230599389,568.0,0.0,0.001198862270651393,105439232.0,0.19275757230599386,568.0,0.0,0.007405120255925855,110608384.0,0.19275757230599389,568.0,0.0,0.000875477197829088,9527296.0,0.0,21830.0,0.043808539160453144,0.0019113988371524738,45809664.0,0.0,21829.0,0.043808539160453144,0.0018612758881612769,101289984.0,0.19275757230599389,568.0,0.0,0.0026703705119140815,6807552.0,0.19275757230599389,748.0,0.0
2026-06-07 14:19:52,0.012364917206328362,15405056.0,0.19267991487051034,57.0,0.0,0.004723509107543966,57864192.0,0.19267991487051034,569.0,0.0,0.001035119514106567,10534912.0,0.19267991487051034,568.0,0.0,0.005840656057679019,10788864.0,0.19267991487051034,569.0,0.0,0.0067348512935515754,44748800.0,0.19267991487051034,568.0,0.0,0.0011904017773092075,105168896.0,0.19267991487051034,568.0,0.0,0.00814501328512325,110354432.0,0.19267991487051034,568.0,0.0,0.0007549209535759015,9572352.0,0.0,21830.0,0.05254906769195737,0.0019225213167337952,45809664.0,0.0,21829.0,0.050344862306801595,0.001762542722305003,101289984.0,0.19298863884273945,568.0,0.0,0.0027420135573350385,7069696.0,0.19298863884273945,748.0,0.0
2026-06-07 14:20:22,0.014335170278637892,15642624.0,0.19134760902464906,57.0,0.0,0.004593059722222273,57929728.0,0.19134760902464906,569.0,0.0,0.0011148720655251858,10534912.0,0.19134760902464906,568.0,0.0,0.006225043792021911,10805248.0,0.19134760902464906,569.0,0.0,0.007146111027796603,44748800.0,0.19134760902464906,568.0,0.0,0.0013583897536793765,105820160.0,0.19134760902464906,568.0,0.0,0.008561069754636455,110637056.0,0.19134760902464906,568.0,0.0,0.0008496533112713177,9388032.0,0.0,21830.0,0.04348809296014751,0.0020061100846474685,45809664.0,0.0,21829.0,0.04348809296014751,0.002030474999299982,101289984.0,0.19134760902464906,568.0,0.0,0.002794135899809774,6807552.0,0.19134760902464906,748.0,0.0
2026-06-07 14:20:52,0.013406213175211162,15392768.0,0.1926360492097544,57.0,0.0,0.004940283706002374,57896960.0,0.1926360492097544,569.0,0.0,0.0012246792834907682,10792960.0,0.1926360492097544,568.0,0.0,0.00647546081646489,10805248.0,0.1926360492097544,569.0,0.0,0.007240272643509664,44748800.0,0.19263604920975436,568.0,0.0,0.0015734805500178884,105480192.0,0.1926360492097544,568.0,0.0,0.009832482716551308,110936064.0,0.19263604920975436,568.0,0.0,0.0007511785634867638,9388032.0,0.0,21830.0,0.05253710432993302,0.0020505632462020753,45809664.0,0.0,21829.0,0.04378092027494418,0.002093825665859613,101302272.0,0.19263604920975436,568.0,0.0,0.002768046922513899,6807552.0,0.1926360492097544,748.0,0.0
2026-06-07 14:21:22,0.014555567894722307,15540224.0,0.19264617028170125,57.0,0.0,0.005584872462573233,57896960.0,0.19264617028170125,569.0,0.0,0.0011166332998609671,10534912.0,0.19264617028170125,568.0,0.0,0.006633791211363689,10575872.0,0.19264617028170125,569.0,0.0,0.007126336984833665,44740608.0,0.19264617028170125,568.0,0.0,0.0014944621928427238,106184704.0,0.19264617028170122,568.0,0.0,0.009953304992432965,110899200.0,0.19264617028170125,568.0,0.0,0.0007729248972623157,9433088.0,0.0,21830.0,0.043783220518568464,0.0019637644800279143,45809664.0,0.0,21829.0,0.05253986462228216,0.0017717046820134288,101285888.0,0.19264617028170125,568.0,0.0,0.0027362663932840696,6807552.0,0.19264617028170125,748.0,0.0
2026-06-07 14:21:52,0.014133280440650828,15384576.0,0.19026204272247688,57.0,0.0,0.005244229394341674,57917440.0,0.19026204272247682,569.0,0.0,0.001076509721106847,10534912.0,0.19026204272247682,568.0,0.0,0.006393637012162312,10964992.0,0.19026204272247688,569.0,0.0,0.007110920059452624,44744704.0,0.19026204272247688,568.0,0.0,0.001356813888888898,105721856.0,0.18617384529924705,568.0,0.0,0.009667316122747358,111071232.0,0.18630043279340983,568.0,0.0,0.0007450980392156761,9433088.0,0.0,21830.0,0.044396160684400186,0.0019140894368404405,45809664.0,0.0,21829.0,0.04442172235440894,0.0018810605189528813,101163008.0,0.18667699052921052,568.0,0.0,0.0026688559689833154,7069696.0,0.18685645634371978,748.0,0.0
2026-06-07 14:22:22,0.012151416234245257,15687680.0,0.1901978922615394,57.0,0.0,0.0050339281972480235,57921536.0,0.1901978922615394,569.0,0.0,0.0011249243960578964,10534912.0,0.1901978922615394,568.0,0.0,0.006311782583799491,11341824.0,0.1901978922615394,569.0,0.0,0.007085154654768261,44740608.0,0.19019789226153938,568.0,0.0,0.0010645537659018597,105934848.0,0.1901978922615394,568.0,0.0,0.009423206374282992,111513600.0,0.1901978922615394,568.0,0.0,0.0007466527076089751,9457664.0,0.0,21830.0,0.05187215243496529,0.0016267873340483823,45809664.0,0.0,21829.0,0.05187215243496529,0.0018668891241804418,101163008.0,0.1901978922615394,568.0,0.0,0.002624754459413868,6807552.0,0.1901978922615394,748.0,0.0
2026-06-07 14:22:52,0.014433908926471097,15241216.0,0.19019953660476535,57.0,0.0,0.0049235261856424095,57901056.0,0.19019953660476535,569.0,0.0,0.0009642433394455794,10534912.0,0.19019953660476538,568.0,0.0,0.0061440865667613705,10821632.0,0.19019953660476535,569.0,0.0,0.007017462496323157,44740608.0,0.19019953660476535,568.0,0.0,0.0011477098836599952,106520576.0,0.19019953660476535,568.0,0.0,0.009726477024070148,111759360.0,0.19019953660476535,568.0,0.0,0.000767633496950773,9457664.0,0.0,21830.0,0.04322716741017395,0.0017398705948866047,46067712.0,0.0,21829.0,0.04322716741017395,0.0019326658952557739,101163008.0,0.19019953660476535,568.0,0.0,0.002570977437887587,6807552.0,0.19019953660476535,748.0,0.0
2026-06-07 14:23:22,0.01270591436925923,15335424.0,0.1890879086877299,57.0,0.0,0.004202566210304905,57864192.0,0.1890879086877299,569.0,0.0,0.0011364127667556896,10543104.0,0.1890879086877299,568.0,0.0,0.005694686281676322,10899456.0,0.1890879086877299,569.0,0.0,0.006927832251659917,45010944.0,0.1890879086877299,568.0,0.0,0.001120289914755188,106205184.0,0.1890879086877299,568.0,0.0,0.00897197253750074,111722496.0,0.1890879086877299,568.0,0.0,0.0008748564558960862,9457664.0,0.0,21830.0,0.05156942964210816,0.0014911378592767524,45809664.0,0.0,21829.0,0.05156942964210816,0.001863127523347284,101163008.0,0.1890879086877299,568.0,0.0,0.002493891208811242,7069696.0,0.1890879086877299,748.0,0.0
2026-06-07 14:23:52,0.014832579101598846,15761408.0,0.1903130649919117,57.0,0.0,0.004688154005724868,57896960.0,0.1903130649919117,569.0,0.0,0.0012236864763941948,10539008.0,0.1903130649919117,568.0,0.0,0.006813057617835206,10637312.0,0.1903130649919117,569.0,0.0,0.0065275849187934,44740608.0,0.19031306499191172,568.0,0.0,0.001175546186278258,107012096.0,0.1903130649919117,568.0,0.0,0.00970048177261131,112009216.0,0.1903130649919117,568.0,0.0,0.0008679498810359212,9461760.0,0.0,21830.0,0.05190356317961229,0.0018827711834528225,45809664.0,0.0,21829.0,0.05190356317961228,0.001966345235342016,101163008.0,0.1903130649919117,568.0,0.0,0.002564735692913175,7069696.0,0.1903130649919117,748.0,0.0
