case,n,positive_labels,score_min,score_max,score_mean,score_std,best_high_threshold,best_high_precision,best_high_recall,best_high_f1,best_high_predicted,best_low_threshold,best_low_precision,best_low_recall,best_low_f1,best_low_predicted,topk_precision,topk_recall,topk_f1,topk_predicted
processed/signal_log_based/test_all_signal,420,86,0.0,0.455851,0.07924373809523809,0.11671224621644699,0.0,0.20476190476190476,1.0,0.33992094861660077,420,0.042125,0.2976190476190476,0.872093023255814,0.4437869822485207,252,0.03488372093023256,0.03488372093023256,0.03488372093023256,86
processed/signal_log_based/test_all_signal_w10,420,86,0.258828,0.467337,0.3725877238095239,0.042507178435613115,0.348121,0.22297297297297297,0.7674418604651163,0.34554973821989526,296,0.428859,0.21148825065274152,0.9418604651162791,0.34541577825159914,383,0.22093023255813954,0.22093023255813954,0.22093023255813954,86
processed/signal_log_based/test_no_delay_signal,340,52,0.0,0.457962,0.05328714705882352,0.09994253438496613,0.0,0.15294117647058825,1.0,0.2653061224489796,340,0.0,0.24528301886792453,1.0,0.393939393939394,212,0.0,0.0,0.0,52
processed/signal_log_based/test_no_delay_signal_w10,340,52,0.0,1.025147,0.2519981176470588,0.1712649037782019,0.22931,0.192090395480226,0.6538461538461539,0.29694323144104806,177,1.024013,0.15339233038348082,1.0,0.2659846547314578,339,0.17307692307692307,0.17307692307692307,0.17307692307692307,52
processed/signal_log_based/test_cpu_frontend_signal,160,20,0.0,0.21429,0.035362625,0.05776913891611485,0.0,0.125,1.0,0.2222222222222222,160,0.0,0.18867924528301888,1.0,0.3174603174603175,106,0.0,0.0,0.0,20
processed/signal_log_based/test_mem_recommendation_signal,160,20,0.0,0.614154,0.16038806249999998,0.18251020784057143,0.0,0.125,1.0,0.2222222222222222,160,0.0,0.2833333333333333,0.85,0.425,60,0.0,0.0,0.0,20
processed/signal_log_based/test_delay_cart_repeat_500ms_signal,140,34,0.0,0.514562,0.10460131428571429,0.14731942711677748,0.0,0.24285714285714285,1.0,0.3908045977011494,140,0.160118,0.3148148148148148,1.0,0.4788732394366197,108,0.058823529411764705,0.058823529411764705,0.058823529411764705,34
processed/signal_log_based/test_kill_product_repeat_signal,140,12,0.0,0.399231,0.06757692857142857,0.10989566252773211,0.0,0.08571428571428572,1.0,0.15789473684210528,140,0.0,0.13953488372093023,1.0,0.24489795918367346,86,0.0,0.0,0.0,12
processed/signal_observed/test_all_signal_observed_w10,420,98,0.258828,0.467337,0.3725877238095239,0.042507178435613115,0.328738,0.24719101123595505,0.8979591836734694,0.3876651982378855,356,0.430668,0.2442159383033419,0.9693877551020408,0.39014373716632444,389,0.2755102040816326,0.2755102040816326,0.2755102040816326,98
